section,id,name,type
eEcon_mechanics,ep_lambda_epu_epu_dwq,EPU_DWQ,excel_named_formula
eEcon_mechanics,ep_lambda_stat_uw_stat_uw_cl_final_ch,STAT_UW_CL_FINAL_CH,excel_named_formula
eEcon_mechanics,ep_lambda_stat_uw_stat_uw_cl_final_dmg,STAT_UW_CL_FINAL_DMG,excel_named_formula
eEcon_mechanics,ep_lambda_stat_uw_stat_uw_cl_final_qty,STAT_UW_CL_FINAL_QTY,excel_named_formula
eEcon_mechanics,ep_lambda_stat_uw_stat_uw_dw_final_cd,STAT_UW_DW_FINAL_CD,excel_named_formula
eEcon_mechanics,ep_lambda_stat_uw_stat_uw_dw_final_cd_mvn,STAT_UW_DW_FINAL_CD_MVN,excel_named_formula
eEcon_mechanics,ep_lambda_stat_uw_stat_uw_dw_final_dmg,STAT_UW_DW_FINAL_DMG,excel_named_formula
eEcon_mechanics,ep_lambda_stat_uw_stat_uw_dw_final_qty,STAT_UW_DW_FINAL_QTY,excel_named_formula
eEcon_mechanics,ep_lambda_stat_uw_stat_uw_ilm_final_dmg,STAT_UW_ILM_FINAL_DMG,excel_named_formula
eEcon_mechanics,ep_lambda_stat_uw_stat_uw_ilm_final_qty,STAT_UW_ILM_FINAL_QTY,excel_named_formula
eEcon_mechanics,ep_lambda_stat_uw_stat_uw_sl_final_angle,STAT_UW_SL_FINAL_ANGLE,excel_named_formula
eEcon_mechanics,ep_lambda_stat_uw_stat_uw_sl_final_dmg,STAT_UW_SL_FINAL_DMG,excel_named_formula
eEcon_mechanics,ep_lambda_stat_uw_stat_uw_sl_final_lr,STAT_UW_SL_FINAL_LR,excel_named_formula
eEcon_mechanics,ep_lambda_stat_uw_stat_uw_sm_final_cd,STAT_UW_SM_FINAL_CD,excel_named_formula
eEcon_mechanics,ep_lambda_stat_uw_stat_uw_sm_final_cf,STAT_UW_SM_FINAL_CF,excel_named_formula
eEcon_mechanics,ep_lambda_stat_uw_stat_uw_sm_final_dmg,STAT_UW_SM_FINAL_DMG,excel_named_formula
eEcon_mechanics,ep_lambda_stat_uw_stat_uw_sm_final_qty,STAT_UW_SM_FINAL_QTY,excel_named_formula
